offerid,clientofferregid,client first name,client last name,client dob,client refinternal,client refexternal,client email,client alternative email,client mobile,enrolment status,client post add1,client post add2,client post suburb,client post pc,client post state,nz ethnicity 1,nz ethnicity 2,nz ethnicity 3,client passport number,client country of nationality,visa number,visa expiry date,course code,course desc,course offer code,course offer desc,cor start date,cor end date,course offer trainer first name,course offer trainer last name,unit code,unit desc,unit offer code,unit offer description,cuor start date,cuor end date,outcome code,outcome desc,cuor final,cuor theory,cuor practical,nz studylink status,nz studylink reason,nz foreign fee,nzqa awarding provider,unit efts factor,cuor efts factor,cuor nzqa result code,cuor nzqa result desc,unit offer location,hasstudentphoto,targetgroupclientofferregid,finalid,enrolmentid,iwi1,iwi2,iwi3,cuor fund source description,cuor fund source code,forsdr,cor target group,cuor result code,cuor result desc
NA,NA,First Name,Last Name,DOB,NA,Student ID,Student Email,Personal Email,Mobile,enrolment status,Address 1,Address 2,City,Post Code,NA,Ethnicity 1,Ethnicity 2,NA,NA,NA,NA,NA,Programme code,Programme Name,Programme offer code,Programme offer desc,programme start date,programme end date,NA,NA,Course Code,Course Name,Course offer code,Course offer Name,Course Start Date,Course End date,outcome code,outcome desc,NA,NA,NA,NA,NA,NA,NA,Course EFTS,NA,NA,NA,Campus,NA,NA,NA,Na,NA,NA,NA,NA,"locality (Int=2, Dom=1,37)",NA,NA,NA,NA
441,15931,AAA,A,02/07/89,kjkhkjkjk,2020765,2020765@whitecliffe.com,AAAA@yahoo.co.nz,64278821234,Withdrawn,4500 Winfield Drive Wigram,Christchurch,,8042,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2595,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2023,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0,,,Courses delivered extramurally or by distance,FALSE,,,126713,,,,Non-funded Confirmed Student Enrolment,31,TRUE,,,
258,8928,AAAA,B,15/04/81,kjkhkjkjk,2020766,2020766@whitecliffe.com,AAAAB@yahoo.co.nz,64278821235,Current,56 O'Reilly Road,Lincoln,,7608,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2023,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.125,,,Christchurch (Computer Power Plus),TRUE,,,54577,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),37,TRUE,,,
286,10111,CCC,C,30/06/03,kjkhkjkjk,2020767,2020767@whitecliffe.com,CCCC@yahoo.co.nz,64278821236,Current,1 Cracroft Street,Waitara,New Plymouth,4320,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.125,,,New Plymouth,FALSE,,,58274,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),37,TRUE,,,
286,10113,BBB,D,30/08/98,kjkhkjkjk,2020768,2020768@whitecliffe.com,BBBD@yahoo.co.nz,64278821237,Withdrawn,500 Rarawa Place,Vogel Town,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.125,,,New Plymouth,FALSE,,,58275,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),37,TRUE,,,
441,7203,AAA,A,02/07/89,,2020769,2020769@whitecliffe.com,AAAA@yahoo.co.nz,64278821238,Withdrawn,4501 Winfield Drive Wigram,Christchurch,,,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2596,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2024,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0.1875,,,Courses delivered extramurally or by distance,FALSE,,,24055.5,,,,Non-funded Confirmed Student Enrolment,40,TRUE,,,
258,5576,AAAA,B,15/04/81,,2020770,2020770@whitecliffe.com,AAAAB@yahoo.co.nz,64278821239,Current,57 O'Reilly Road,Lincoln,New Plymouth,4320,,New Zealand European,,,,,,,NZ2596,New Zealand Diploma in Information Technology Technical Support (Level 5),23.NZ2596.C,CPP-NZD-Info-Technology-Tech-Support-2022-C,20/02/23,08/12/23,,,IT5008,Database Administration and Management,IT5008_Q4_2024,Database Administration and Management,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.225,,,Christchurch (Computer Power Plus),TRUE,,,3893.8,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),41.8,TRUE,,,
286,3949,CCC,C,30/06/03,,2020771,2020771@whitecliffe.com,CCCC@yahoo.co.nz,64278821240,Current,2 Cracroft Street,Waitara,New Plymouth,4310,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,1,Still to complete course – course end date not yet reached (Register Level 1-8),,,,,,,,0.125,0.2625,,,New Plymouth,FALSE,,,-16267.9,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),43.6,TRUE,,,
286,2322,BBB,D,30/08/98,,2020772,2020772@whitecliffe.com,BBBD@yahoo.co.nz,64278821241,Withdrawn,501 Rarawa Place,Vogel Town,,,,New Zealand European,,,,,,,NZ2598,New Zealand Diploma in Web Development and Design (Level 5),23.NZ2598,CPP-NZD-Web-Development-Design-2023-N,20/02/23,08/12/23,,,IT5001,Testing and Deployment of Web Application,IT5001_Q4_2023,Testing and Deployment of Web Application,09/10/23,08/12/23,W,"Early Withdrawal (Not reported in SDR, FeesFree or UIP)",,,,,,,,0.125,0.3,,,New Plymouth,FALSE,,,-36429.6,,,,Non-degree Delivery at Levels 3-7 on the NZQCF (DQ3-7),45.4,TRUE,,,
441,15931,AAA,A,02/07/89,,2020773,2020773@whitecliffe.com,AAAA@yahoo.co.nz,64278821242,Withdrawn,4502 Winfield Drive Wigram,Christchurch,New Plymouth,4320,,Other Ethnicity,,,,,,,NZ2595,New Zealand Certificate in Information Technology (Level 5),22.NZ2597,CPP-NZC-Information Technology-2022 - N,09/09/22,27/01/23,,,IT5015D,Information Systems,IT5015D_Q3_2025,Information Systems,09/10/23,08/12/23,,,,,,,,,,0.125,0.3375,,,Courses delivered extramurally or by distance,FALSE,,,-56591.3,,,,Non-funded Confirmed Student Enrolment,47.2,TRUE,,,
